,,,,,TCN
42,9.6865,1.6865,,1.6865,2.1865
43,7.170439,-0.829561,,-0.829561,0
44,8.450449,0.450449,,0.450449,0.950449
45,8.388609,0.388609,,0.388609,0.888609
46,6.555021,-1.444979,,-1.444979,0
47,6.6481533,-1.3518467,,-1.3518467,0
48,6.2838197,-1.7161803,,-1.7161803,0
49,6.3329935,-1.6670065,,-1.6670065,0
50,7.7895823,-0.2104177,,-0.2104177,0.2895823
51,9.6596775,1.6596775,,1.6596775,2.1596775
52,8.083135,0.083135,,0.083135,0.583135
53,9.055435,1.055435,,1.055435,1.555435
54,7.1436167,-0.8563833,,-0.8563833,0
55,9.05469,1.05469,,1.05469,1.55469
56,7.4774027,-0.5225973,,-0.5225973,0
57,8.5301695,0.5301695,,0.5301695,1.0301695
58,8.73208,0.73208,,0.73208,1.23208
59,7.0869923,-0.9130077,,-0.9130077,0
60,8.5935,0.5935,,0.5935,1.0935
61,7.919222,-0.080778,,-0.080778,0.419222
62,8.071959,0.071959,,0.071959,0.571959
63,7.351488,-0.648512,,-0.648512,0
64,6.703287,-1.296713,,-1.296713,0
65,7.542223,-0.457777,,-0.457777,0.042223
66,9.228289,1.228289,,1.228289,1.728289
67,10.435284,2.435284,,2.435284,2.935284
68,7.2821975,-0.7178025,,-0.7178025,0
69,6.721914,-1.278086,,-1.278086,0
70,8.454919,0.454919,,0.454919,0.954919
71,6.396323,-1.603677,,-1.603677,0
72,8.127838,0.127838,,0.127838,0.627838
73,7.3857603,-0.6142397,,-0.6142397,0
74,7.8164043,-0.1835957,,-0.1835957,0.3164043
75,8.211285,0.211285,,0.211285,0.711285
76,9.865314,1.865314,,1.865314,2.365314
77,7.8618526,-0.1381474,,-0.1381474,0.3618526
78,7.5332823,-0.4667177,,-0.4667177,0.0332823
79,7.1525574,-0.8474426,,-0.8474426,0
80,7.4364243,-0.5635757,,-0.5635757,0
81,7.76425,-0.23575,,-0.23575,0.26425
82,7.6934695,-0.3065305,,-0.3065305,0.1934695
83,8.393824,0.393824,,0.393824,0.893824
84,7.902831,-0.097169,,-0.097169,0.402831
85,7.762015,-0.237985,,-0.237985,0.262015
86,6.8202615,-1.1797385,,-1.1797385,0
87,6.6675243,-1.3324757,,-1.3324757,0
88,7.2821975,-0.7178025,,-0.7178025,0
89,7.880479,-0.119521,,-0.119521,0.380479
90,7.339567,-0.660433,,-0.660433,0
91,6.6414475,-1.3585525,,-1.3585525,0
92,7.5533986,-0.4466014,,-0.4466014,0.0533986
93,7.7180567,-0.2819433,,-0.2819433,0.2180567
94,6.5520406,-1.4479594,,-1.4479594,0
95,8.069724,0.069724,,0.069724,0.569724
96,6.3680115,-1.6319885,,-1.6319885,0
97,7.321686,-0.678314,,-0.678314,0
98,7.3067846,-0.6932154,,-0.6932154,0
99,6.654114,-1.345886,,-1.345886,0
100,6.7748127,-1.2251873,,-1.2251873,0
101,6.632507,-1.367493,,-1.367493,0
102,6.7844987,-1.2155013,,-1.2155013,0
103,7.262826,-0.737174,,-0.737174,0
104,6.3955784,-1.6044216,,-1.6044216,0
105,8.53911,0.53911,,0.53911,1.03911
106,7.110834,-0.889166,,-0.889166,0
107,8.3670025,0.3670025,,0.3670025,0.8670025
108,6.954372,-1.045628,,-1.045628,0
109,6.3300133,-1.6699867,,-1.6699867,0
110,6.7256393,-1.2743607,,-1.2743607,0
111,6.956607,-1.043393,,-1.043393,0
112,6.4998865,-1.5001135,,-1.5001135,0
113,6.981194,-1.018806,,-1.018806,0
114,6.376952,-1.623048,,-1.623048,0
115,6.687641,-1.312359,,-1.312359,0
116,6.54608,-1.45392,,-1.45392,0
117,6.7047777,-1.2952223,,-1.2952223,0
118,6.6950917,-1.3049083,,-1.3049083,0
119,6.301701,-1.698299,,-1.698299,0
120,8.53166,0.53166,,0.53166,1.03166
121,6.955117,-1.044883,,-1.044883,0
122,6.6630545,-1.3369455,,-1.3369455,0
123,6.2547626,-1.7452374,,-1.7452374,0
124,6.74203,-1.25797,,-1.25797,0
125,6.251037,-1.748963,,-1.748963,0
126,7.2054567,-0.7945433,,-0.7945433,0
127,6.524473,-1.475527,,-1.475527,0
128,9.49502,1.49502,,1.49502,1.99502
129,9.375066,1.375066,,1.375066,1.875066
130,9.472668,1.472668,,1.472668,1.972668
131,10.247528,2.247528,,2.247528,2.747528
132,11.4336605,3.4336605,,3.4336605,3.9336605
133,7.3455276,-0.6544724,,-0.6544724,0
134,8.652359,0.652359,,0.652359,1.152359
135,7.829815,-0.170185,,-0.170185,0.329815
136,7.7925625,-0.2074375,,-0.2074375,0.2925625
137,7.353723,-0.646277,,-0.646277,0
138,6.9737434,-1.0262566,,-1.0262566,0
139,6.6265464,-1.3734536,,-1.3734536,0
140,6.3702464,-1.6297536,,-1.6297536,0
141,6.9350004,-1.0649996,,-1.0649996,0
142,7.355958,-0.644042,,-0.644042,0
143,7.9758463,-0.0241537,,-0.0241537,0.4758463
144,6.727129,-1.272871,,-1.272871,0
145,7.6331196,-0.3668804,,-0.3668804,0.1331196
146,6.686151,-1.313849,,-1.313849,0
147,6.479025,-1.520975,,-1.520975,0
148,7.766485,-0.233515,,-0.233515,0.266485
149,6.7286196,-1.2713804,,-1.2713804,0
150,8.21352,0.21352,,0.21352,0.71352
151,6.85975,-1.14025,,-1.14025,0
152,6.905943,-1.094057,,-1.094057,0
153,6.644428,-1.355572,,-1.355572,0
154,6.7427754,-1.2572246,,-1.2572246,0
155,7.686019,-0.313981,,-0.313981,0.186019
156,6.6906214,-1.3093786,,-1.3093786,0
157,8.553267,0.553267,,0.553267,1.053267
158,7.8730288,-0.1269712,,-0.1269712,0.3730288
159,7.492304,-0.507696,,-0.507696,0
160,7.2300434,-0.7699566,,-0.7699566,0
161,7.265806,-0.734194,,-0.734194,0
162,6.814301,-1.185699,,-1.185699,0
163,8.280575,0.280575,,0.280575,0.780575
164,6.777048,-1.222952,,-1.222952,0
165,7.684529,-0.315471,,-0.315471,0.184529
166,8.423626,0.423626,,0.423626,0.923626
167,8.372217,0.372217,,0.372217,0.872217
168,8.183718,0.183718,,0.183718,0.683718
169,6.898493,-1.101507,,-1.101507,0
170,7.106364,-0.893636,,-0.893636,0
171,6.9223347,-1.0776653,,-1.0776653,0
172,8.443743,0.443743,,0.443743,0.943743
173,6.7554417,-1.2445583,,-1.2445583,0
174,6.788224,-1.211776,,-1.211776,0
175,6.680936,-1.319064,,-1.319064,0
176,7.6159835,-0.3840165,,-0.3840165,0.1159835
177,7.3276463,-0.6723537,,-0.6723537,0
178,10.371208,2.371208,,2.371208,2.871208
179,7.162988,-0.837012,,-0.837012,0
180,7.12648,-0.87352,,-0.87352,0
181,9.626895,1.626895,,1.626895,2.126895
182,7.312745,-0.687255,,-0.687255,0
183,7.119775,-0.880225,,-0.880225,0
184,7.329136,-0.670864,,-0.670864,0
185,6.750971,-1.249029,,-1.249029,0
186,6.6392126,-1.3607874,,-1.3607874,0
187,6.335229,-1.664771,,-1.664771,0
188,9.347498,1.347498,,1.347498,1.847498
189,7.0229173,-0.9770827,,-0.9770827,0
190,7.106364,-0.893636,,-0.893636,0
191,7.864833,-0.135167,,-0.135167,0.364833
192,7.0400534,-0.9599466,,-0.9599466,0
193,9.261817,1.261817,,1.261817,1.761817
194,9.437651,1.437651,,1.437651,1.937651
195,8.422881,0.422881,,0.422881,0.922881
196,8.393079,0.393079,,0.393079,0.893079
197,8.059293,0.059293,,0.059293,0.559293
198,8.478016,0.478016,,0.478016,0.978016
199,6.2711535,-1.7288465,,-1.7288465,0
200,8.124858,0.124858,,0.124858,0.624858
201,8.261204,0.261204,,0.261204,0.761204
202,6.7934394,-1.2065606,,-1.2065606,0
203,6.5222383,-1.4777617,,-1.4777617,0
204,9.4771385,1.4771385,,1.4771385,1.9771385
205,8.162856,0.162856,,0.162856,0.662856
206,7.4625015,-0.5374985,,-0.5374985,0
207,9.401888,1.401888,,1.401888,1.901888
208,9.460747,1.460747,,1.460747,1.960747
209,7.176399,-0.823601,,-0.823601,0
210,7.1004033,-0.8995967,,-0.8995967,0
211,7.3060393,-0.6939607,,-0.6939607,0
212,6.823987,-1.176013,,-1.176013,0
213,7.208437,-0.791563,,-0.791563,0
214,7.2367487,-0.7632513,,-0.7632513,0
215,7.177144,-0.822856,,-0.822856,0
216,8.004159,0.004159,,0.004159,0.504159
217,9.872765,1.872765,,1.872765,2.372765
218,10.418892,2.418892,,2.418892,2.918892
219,8.676201,0.676201,,0.676201,1.176201
220,9.835511,1.835511,,1.835511,2.335511
221,9.214878,1.214878,,1.214878,1.714878
222,7.8886747,-0.1113253,,-0.1113253,0.3886747
223,8.773804,0.773804,,0.773804,1.273804
224,8.086861,0.086861,,0.086861,0.586861
225,8.001924,0.001924,,0.001924,0.501924
226,6.761402,-1.238598,,-1.238598,0
227,9.538979,1.538979,,1.538979,2.038979
228,8.615107,0.615107,,0.615107,1.115107
229,9.322166,1.322166,,1.322166,1.822166
230,8.326024,0.326024,,0.326024,0.826024
231,7.624179,-0.375821,,-0.375821,0.124179
232,8.817017,0.817017,,0.817017,1.317017
233,7.3038044,-0.6961956,,-0.6961956,0
234,7.2687864,-0.7312136,,-0.7312136,0
235,7.170439,-0.829561,,-0.829561,0
236,8.709728,0.709728,,0.709728,1.209728
237,7.794052,-0.205948,,-0.205948,0.294052
238,8.337945,0.337945,,0.337945,0.837945
239,8.606911,0.606911,,0.606911,1.106911
240,7.048994,-0.951006,,-0.951006,0
241,7.3350964,-0.6649036,,-0.6649036,0
242,6.6511335,-1.3488665,,-1.3488665,0
243,6.6906214,-1.3093786,,-1.3093786,0
244,6.8172812,-1.1827188,,-1.1827188,0
245,7.8976154,-0.1023846,,-0.1023846,0.3976154
246,7.379055,-0.620945,,-0.620945,0
247,7.977337,-0.022663,,-0.022663,0.477337
248,6.563216,-1.436784,,-1.436784,0
249,7.876009,-0.123991,,-0.123991,0.376009
250,8.828193,0.828193,,0.828193,1.328193
251,7.4744225,-0.5255775,,-0.5255775,0
252,7.6957045,-0.3042955,,-0.3042955,0.1957045
253,6.5773726,-1.4226274,,-1.4226274,0
254,7.9058113,-0.0941887,,-0.0941887,0.4058113
255,7.5988474,-0.4011526,,-0.4011526,0.0988474
256,6.5304337,-1.4695663,,-1.4695663,0
257,7.2918835,-0.7081165,,-0.7081165,0
258,6.9998207,-1.0001793,,-1.0001793,0
259,7.817894,-0.182106,,-0.182106,0.317894
260,8.169561,0.169561,,0.169561,0.669561
261,6.4916906,-1.5083094,,-1.5083094,0
262,7.0780516,-0.9219484,,-0.9219484,0
263,7.4751673,-0.5248327,,-0.5248327,0
264,6.584823,-1.415177,,-1.415177,0
265,6.853044,-1.146956,,-1.146956,0
266,7.790327,-0.209673,,-0.209673,0.290327
267,7.890165,-0.109835,,-0.109835,0.390165
268,8.904934,0.904934,,0.904934,1.404934
269,7.060915,-0.939085,,-0.939085,0
270,6.86273,-1.13727,,-1.13727,0
271,7.7977777,-0.2022223,,-0.2022223,0.2977777
272,7.3358417,-0.6641583,,-0.6641583,0
273,7.1488323,-0.8511677,,-0.8511677,0
274,7.918477,-0.081523,,-0.081523,0.418477
275,9.416789,1.416789,,1.416789,1.916789
276,6.3046813,-1.6953187,,-1.6953187,0
277,7.9207125,-0.0792875,,-0.0792875,0.4207125
278,6.4842405,-1.5157595,,-1.5157595,0
279,8.214265,0.214265,,0.214265,0.714265
280,6.956607,-1.043393,,-1.043393,0
281,7.153302,-0.846698,,-0.846698,0
282,7.302314,-0.697686,,-0.697686,0
283,6.978959,-1.021041,,-1.021041,0
284,6.7166986,-1.2833014,,-1.2833014,0
285,7.9989433,-0.0010567,,-0.0010567,0.4989433
286,6.7017975,-1.2982025,,-1.2982025,0
287,8.794665,0.794665,,0.794665,1.294665
288,7.9900026,-0.0099974,,-0.0099974,0.4900026
289,8.02204,0.02204,,0.02204,0.52204
290,7.8357754,-0.1642246,,-0.1642246,0.3357754
291,7.7880917,-0.2119083,,-0.2119083,0.2880917
292,7.3209405,-0.6790595,,-0.6790595,0
293,6.48573,-1.51427,,-1.51427,0
294,7.483363,-0.516637,,-0.516637,0
295,6.6176057,-1.3823943,,-1.3823943,0
296,8.4601345,0.4601345,,0.4601345,0.9601345
297,8.399039,0.399039,,0.399039,0.899039
298,8.160621,0.160621,,0.160621,0.660621
299,6.5110626,-1.4889374,,-1.4889374,0
300,8.578598,0.578598,,0.578598,1.078598
301,6.506592,-1.493408,,-1.493408,0
302,8.248538,0.248538,,0.248538,0.748538
303,7.584691,-0.415309,,-0.415309,0.084691
304,6.8172812,-1.1827188,,-1.1827188,0
305,7.5876713,-0.4123287,,-0.4123287,0.0876713
306,8.963049,0.963049,,0.963049,1.463049
307,6.7643824,-1.2356176,,-1.2356176,0
308,7.849187,-0.150813,,-0.150813,0.349187
309,6.73458,-1.26542,,-1.26542,0
310,7.9259276,-0.0740724,,-0.0740724,0.4259276
311,6.581843,-1.418157,,-1.418157,0
312,6.906688,-1.093312,,-1.093312,0
313,7.203966,-0.796034,,-0.796034,0
314,8.441507,0.441507,,0.441507,0.941507
315,6.8813562,-1.1186438,,-1.1186438,0
316,7.4744225,-0.5255775,,-0.5255775,0
317,8.475036,0.475036,,0.475036,0.975036
318,8.565187,0.565187,,0.565187,1.065187
319,6.863475,-1.136525,,-1.136525,0
320,7.922202,-0.077798,,-0.077798,0.422202
321,7.849187,-0.150813,,-0.150813,0.349187
322,7.6398253,-0.3601747,,-0.3601747,0.1398253
323,7.2143974,-0.7856026,,-0.7856026,0
324,7.817149,-0.182851,,-0.182851,0.317149
325,8.258968,0.258968,,0.258968,0.758968
326,7.841736,-0.158264,,-0.158264,0.341736
327,8.670986,0.670986,,0.670986,1.170986
328,8.703023,0.703023,,0.703023,1.203023
329,8.72016,0.72016,,0.72016,1.22016
330,7.4878335,-0.5121665,,-0.5121665,0
331,6.86273,-1.13727,,-1.13727,0
332,6.671995,-1.328005,,-1.328005,0
333,6.5974894,-1.4025106,,-1.4025106,0
334,8.130818,0.130818,,0.130818,0.630818
335,7.138401,-0.861599,,-0.861599,0
336,7.878244,-0.121756,,-0.121756,0.378244
337,7.472187,-0.527813,,-0.527813,0
338,9.736419,1.736419,,1.736419,2.236419
339,7.5235963,-0.4764037,,-0.4764037,0.0235963
340,7.1875753,-0.8124247,,-0.8124247,0
341,7.24718,-0.75282,,-0.75282,0
342,7.264316,-0.735684,,-0.735684,0
343,6.608665,-1.391335,,-1.391335,0
344,9.354204,1.354204,,1.354204,1.854204
345,8.543581,0.543581,,0.543581,1.043581
346,8.203835,0.203835,,0.203835,0.703835
347,6.584823,-1.415177,,-1.415177,0
348,8.042156,0.042156,,0.042156,0.542156
349,6.877631,-1.122369,,-1.122369,0
350,7.6808033,-0.3191967,,-0.3191967,0.1808033
351,7.853657,-0.146343,,-0.146343,0.353657
352,6.5624714,-1.4375286,,-1.4375286,0
353,8.323789,0.323789,,0.323789,0.823789
354,8.98838,0.98838,,0.98838,1.48838
355,7.597357,-0.402643,,-0.402643,0.097357
356,7.8000126,-0.1999874,,-0.1999874,0.3000126
357,8.240342,0.240342,,0.240342,0.740342
358,7.1473417,-0.8526583,,-0.8526583,0
359,6.560236,-1.439764,,-1.439764,0
360,6.7017975,-1.2982025,,-1.2982025,0
361,7.588416,-0.411584,,-0.411584,0.088416
362,6.811321,-1.188679,,-1.188679,0
363,7.247925,-0.752075,,-0.752075,0
364,7.554144,-0.445856,,-0.445856,0.054144
365,7.063895,-0.936105,,-0.936105,0
366,7.813424,-0.186576,,-0.186576,0.313424
367,7.662922,-0.337078,,-0.337078,0.162922
368,8.194149,0.194149,,0.194149,0.694149
369,7.252395,-0.747605,,-0.747605,0
370,6.897002,-1.102998,,-1.102998,0
371,7.3313713,-0.6686287,,-0.6686287,0
372,7.615238,-0.384762,,-0.384762,0.115238
373,8.92654,0.92654,,0.92654,1.42654
374,7.6301394,-0.3698606,,-0.3698606,0.1301394
375,6.839633,-1.160367,,-1.160367,0
376,7.1927905,-0.8072095,,-0.8072095,0
377,6.540865,-1.459135,,-1.459135,0
378,7.851422,-0.148578,,-0.148578,0.351422
379,6.5930185,-1.4069815,,-1.4069815,0
380,7.6286497,-0.3713503,,-0.3713503,0.1286497
381,9.634346,1.634346,,1.634346,2.134346
382,9.213388,1.213388,,1.213388,1.713388
383,6.970763,-1.029237,,-1.029237,0
384,6.642193,-1.357807,,-1.357807,0
385,6.199628,-1.800372,,-1.800372,0
386,6.2972307,-1.7027693,,-1.7027693,0
387,6.6079197,-1.3920803,,-1.3920803,0
388,7.016957,-0.983043,,-0.983043,0
389,7.9356136,-0.0643864,,-0.0643864,0.4356136
390,7.6562166,-0.3437834,,-0.3437834,0.1562166
391,6.3143673,-1.6856327,,-1.6856327,0
392,6.6682696,-1.3317304,,-1.3317304,0
393,6.28978,-1.71022,,-1.71022,0
394,6.7323446,-1.2676554,,-1.2676554,0
395,8.810311,0.810311,,0.810311,1.310311
396,6.955117,-1.044883,,-1.044883,0
397,6.897002,-1.102998,,-1.102998,0
398,6.9879,-1.0121,,-1.0121,0
399,6.8560243,-1.1439757,,-1.1439757,0
400,6.3970685,-1.6029315,,-1.6029315,0
401,6.7286196,-1.2713804,,-1.2713804,0
402,6.9215894,-1.0784106,,-1.0784106,0
403,6.92755,-1.07245,,-1.07245,0
404,6.86273,-1.13727,,-1.13727,0
405,11.276454,3.276454,,3.276454,3.776454
406,7.092208,-0.907792,,-0.907792,0
407,8.259714,0.259714,,0.259714,0.759714
408,7.070601,-0.929399,,-0.929399,0
409,6.3613057,-1.6386943,,-1.6386943,0
410,7.2032213,-0.7967787,,-0.7967787,0
411,7.549673,-0.450327,,-0.450327,0.049673
412,8.115172,0.115172,,0.115172,0.615172
413,8.204579,0.204579,,0.204579,0.704579
414,9.040535,1.040535,,1.040535,1.540535
415,8.118153,0.118153,,0.118153,0.618153
416,8.930265,0.930265,,0.930265,1.430265
417,8.873642,0.873642,,0.873642,1.373642
418,8.935481,0.935481,,0.935481,1.435481
419,7.250905,-0.749095,,-0.749095,0
420,6.6399574,-1.3600426,,-1.3600426,0
421,8.1807375,0.1807375,,0.1807375,0.6807375
422,8.670986,0.670986,,0.670986,1.170986
423,6.692857,-1.307143,,-1.307143,0
424,8.521975,0.521975,,0.521975,1.021975
425,8.936972,0.936972,,0.936972,1.436972
426,8.287281,0.287281,,0.287281,0.787281
427,9.284168,1.284168,,1.284168,1.784168
428,6.7442656,-1.2557344,,-1.2557344,0
429,8.288026,0.288026,,0.288026,0.788026
430,8.234382,0.234382,,0.234382,0.734382
431,7.4461102,-0.5538898,,-0.5538898,0
432,7.6442957,-0.3557043,,-0.3557043,0.1442957
433,6.5691767,-1.4308233,,-1.4308233,0
434,7.542223,-0.457777,,-0.457777,0.042223
435,6.723404,-1.276596,,-1.276596,0
436,7.675588,-0.324412,,-0.324412,0.175588
437,6.943941,-1.056059,,-1.056059,0
438,6.778538,-1.221462,,-1.221462,0
439,6.789714,-1.210286,,-1.210286,0
440,6.5855684,-1.4144316,,-1.4144316,0
441,6.2741337,-1.7258663,,-1.7258663,0
442,6.905198,-1.094802,,-1.094802,0
443,8.142739,0.142739,,0.142739,0.642739
444,6.548315,-1.451685,,-1.451685,0
445,8.418411,0.418411,,0.418411,0.918411
446,7.4662266,-0.5337734,,-0.5337734,0
447,7.6137486,-0.3862514,,-0.3862514,0.1137486
448,7.478893,-0.521107,,-0.521107,0
449,7.1249905,-0.8750095,,-0.8750095,0
450,6.947666,-1.052334,,-1.052334,0
451,6.73458,-1.26542,,-1.26542,0
452,6.952882,-1.047118,,-1.047118,0
453,6.8657103,-1.1342897,,-1.1342897,0
454,7.236004,-0.763996,,-0.763996,0
455,7.4945393,-0.5054607,,-0.5054607,0
456,7.627159,-0.372841,,-0.372841,0.127159
457,6.703287,-1.296713,,-1.296713,0
458,7.197261,-0.802739,,-0.802739,0
459,6.6280365,-1.3719635,,-1.3719635,0
460,6.563216,-1.436784,,-1.436784,0
461,6.746501,-1.253499,,-1.253499,0
462,6.2592325,-1.7407675,,-1.7407675,0
463,6.648898,-1.351102,,-1.351102,0
464,6.983429,-1.016571,,-1.016571,0
465,6.5431,-1.4569,,-1.4569,0
466,7.752329,-0.247671,,-0.247671,0.252329
467,8.342415,0.342415,,0.342415,0.842415
468,8.0525875,0.0525875,,0.0525875,0.5525875
469,7.8149137,-0.1850863,,-0.1850863,0.3149137
470,7.7694654,-0.2305346,,-0.2305346,0.2694654
471,8.3670025,0.3670025,,0.3670025,0.8670025
472,6.878376,-1.121624,,-1.121624,0
473,7.3887405,-0.6112595,,-0.6112595,0
474,7.600337,-0.399663,,-0.399663,0.100337
475,7.365644,-0.634356,,-0.634356,0
476,8.048117,0.048117,,0.048117,0.548117
477,6.8590045,-1.1409955,,-1.1409955,0
478,6.957352,-1.042648,,-1.042648,0
479,6.838888,-1.161112,,-1.161112,0
480,6.9879,-1.0121,,-1.0121,0
481,6.7763033,-1.2236967,,-1.2236967,0
482,8.6613,0.6613,,0.6613,1.1613
483,6.80387,-1.19613,,-1.19613,0
484,7.5876713,-0.4123287,,-0.4123287,0.0876713
485,7.3187056,-0.6812944,,-0.6812944,0
486,6.199628,-1.800372,,-1.800372,0
487,7.026643,-0.973357,,-0.973357,0
488,7.160008,-0.839992,,-0.839992,0
489,7.8722835,-0.1277165,,-0.1277165,0.3722835
490,7.452816,-0.547184,,-0.547184,0
491,7.017702,-0.982298,,-0.982298,0
492,6.417185,-1.582815,,-1.582815,0
493,6.558001,-1.441999,,-1.441999,0
494,7.851422,-0.148578,,-0.148578,0.351422
495,7.114559,-0.885441,,-0.885441,0
496,6.1765313,-1.8234687,,-1.8234687,0
497,6.436557,-1.563443,,-1.563443,0
498,7.7180567,-0.2819433,,-0.2819433,0.2180567
499,6.7934394,-1.2065606,,-1.2065606,0
500,6.7532063,-1.2467937,,-1.2467937,0
501,6.828457,-1.171543,,-1.171543,0
502,6.8336725,-1.1663275,,-1.1663275,0
503,8.526444,0.526444,,0.526444,1.026444
504,6.403029,-1.596971,,-1.596971,0
505,6.3799324,-1.6200676,,-1.6200676,0
506,6.9148836,-1.0851164,,-1.0851164,0
507,6.238371,-1.761629,,-1.761629,0
508,8.205324,0.205324,,0.205324,0.705324
509,7.663667,-0.336333,,-0.336333,0.163667
510,6.768852,-1.231148,,-1.231148,0
511,7.480383,-0.519617,,-0.519617,0
512,7.3567033,-0.6432967,,-0.6432967,0
513,6.747246,-1.252754,,-1.252754,0
514,7.1011486,-0.8988514,,-0.8988514,0
515,6.4022837,-1.5977163,,-1.5977163,0
516,6.6794453,-1.3205547,,-1.3205547,0
517,8.807331,0.807331,,0.807331,1.307331
518,6.1787663,-1.8212337,,-1.8212337,0
519,8.355826,0.355826,,0.355826,0.855826
520,7.416308,-0.583692,,-0.583692,0
521,7.534027,-0.465973,,-0.465973,0.034027
522,6.60345,-1.39655,,-1.39655,0
523,6.7137184,-1.2862816,,-1.2862816,0
524,6.4454975,-1.5545025,,-1.5545025,0
525,6.780773,-1.219227,,-1.219227,0
526,6.3531103,-1.6468897,,-1.6468897,0
527,6.671995,-1.328005,,-1.328005,0
528,7.4125824,-0.5874176,,-0.5874176,0
529,6.5691767,-1.4308233,,-1.4308233,0
530,7.0594254,-0.9405746,,-0.9405746,0
531,7.7202916,-0.2797084,,-0.2797084,0.2202916
532,8.305907,0.305907,,0.305907,0.805907
533,11.111795,3.111795,,3.111795,3.611795
534,7.864088,-0.135912,,-0.135912,0.364088
535,7.709116,-0.290884,,-0.290884,0.209116
536,7.0206823,-0.9793177,,-0.9793177,0
537,6.5252185,-1.4747815,,-1.4747815,0
538,7.030368,-0.969632,,-0.969632,0
539,6.898493,-1.101507,,-1.101507,0
540,7.479638,-0.520362,,-0.520362,0
541,7.0013103,-0.9986897,,-0.9986897,0
542,6.9975853,-1.0024147,,-1.0024147,0
543,8.1650915,0.1650915,,0.1650915,0.6650915
544,7.95722,-0.04278,,-0.04278,0.45722
545,6.9312754,-1.0687246,,-1.0687246,0
546,7.6644125,-0.3355875,,-0.3355875,0.1644125
547,7.0363283,-0.9636717,,-0.9636717,0
548,8.467585,0.467585,,0.467585,0.967585
549,6.5401196,-1.4598804,,-1.4598804,0
550,6.7040324,-1.2959676,,-1.2959676,0
551,7.016957,-0.983043,,-0.983043,0
552,8.160621,0.160621,,0.160621,0.660621
553,6.889552,-1.110448,,-1.110448,0
554,7.1488323,-0.8511677,,-0.8511677,0
555,7.082522,-0.917478,,-0.917478,0
556,6.8150463,-1.1849537,,-1.1849537,0
557,8.0682335,0.0682335,,0.0682335,0.5682335
558,6.979704,-1.020296,,-1.020296,0
559,6.8373976,-1.1626024,,-1.1626024,0
560,7.1994963,-0.8005037,,-0.8005037,0
561,6.1817465,-1.8182535,,-1.8182535,0
562,6.5498056,-1.4501944,,-1.4501944,0
563,6.4738092,-1.5261908,,-1.5261908,0
564,8.291751,0.291751,,0.291751,0.791751
565,7.588416,-0.411584,,-0.411584,0.088416
566,7.2032213,-0.7967787,,-0.7967787,0
567,8.673221,0.673221,,0.673221,1.173221
568,6.6094103,-1.3905897,,-1.3905897,0
569,8.930265,0.930265,,0.930265,1.430265
570,8.104742,0.104742,,0.104742,0.604742
571,8.383393,0.383393,,0.383393,0.883393
572,6.662309,-1.337691,,-1.337691,0
573,7.3179603,-0.6820397,,-0.6820397,0
574,6.654114,-1.345886,,-1.345886,0
575,8.767843,0.767843,,0.767843,1.267843
576,7.017702,-0.982298,,-0.982298,0
577,6.893277,-1.106723,,-1.106723,0
578,7.3261557,-0.6738443,,-0.6738443,0
579,6.67125,-1.32875,,-1.32875,0
580,8.884072,0.884072,,0.884072,1.384072
581,6.7017975,-1.2982025,,-1.2982025,0
582,10.027737,2.027737,,2.027737,2.527737
