,score
353,73.04192
354,121.08465
355,105.48695
356,91.30393
357,100.73816
358,61.22641
359,43.50712
360,73.91162
361,65.551544
362,37.47188
363,94.5509
364,55.542557
365,51.412445
366,57.373123
367,68.15019
368,103.59043
369,53.934235
370,46.189716
371,80.70359
372,68.42894
373,97.62506
374,82.31167
375,56.6872
376,69.84249
377,42.55594
378,67.7396
379,37.56762
380,95.27634
381,140.59718
382,140.84248
383,38.639923
384,41.58952
385,47.906937
386,59.765938
387,37.31921
388,44.60203
389,80.791016
390,48.95002
391,49.340874
392,42.629105
393,54.452724
394,49.066925
395,110.29637
396,47.12273
397,40.3116
398,38.2641
399,46.838932
400,46.65232
401,46.80735
402,53.65956
403,46.042007
404,43.25619
405,150.94171
406,51.65594
407,94.360825
408,39.99343
409,54.954098
410,62.129272
411,81.47119
412,94.83654
413,68.4206
414,97.99205
415,99.65941
416,120.784485
417,104.61805
418,104.79001
419,55.66785
420,47.882584
421,81.27073
422,87.49808
423,44.572098
424,108.20661
425,119.06195
426,94.3949
427,98.74721
428,43.130836
429,83.597206
430,83.53814
431,41.922066
432,43.256466
433,44.2372
434,54.798435
435,53.737625
436,90.12827
437,36.46053
438,42.367268
439,48.864193
440,50.571236
441,47.0784
442,47.75191
443,70.332924
444,48.718346
445,108.129326
446,78.01997
447,65.489174
448,107.76898
449,90.89438
450,43.1507
451,42.434002
452,34.23239
453,68.8465
454,85.613014
455,52.75824
456,63.35659
457,37.36725
458,42.84964
459,52.97673
460,54.88781
461,43.3042
462,46.572624
463,39.5444
464,44.367466
465,34.172783
466,67.5802
467,90.4305
468,93.40817
469,69.12059
470,90.87232
471,77.90237
472,66.63954
473,45.472824
474,49.395756
475,47.616966
476,50.061104
477,38.827477
478,48.45511
479,43.273415
480,41.767097
481,42.232025
482,85.303635
483,38.3813
484,83.20804
485,56.32939
486,48.0666
487,33.066654
488,44.393715
489,76.597084
490,46.79141
491,66.7587
492,46.231796
493,42.52083
494,50.94289
495,50.79223
496,64.65896
497,44.9608
498,70.5184
499,42.491707
500,51.8089
501,41.581474
502,44.63676
503,85.127716
504,55.524734
505,54.42914
506,46.800625
507,45.653618
508,66.182625
509,51.75025
510,37.754993
511,60.9326
512,38.173145
513,44.80974
514,61.23941
515,47.614067
516,48.045437
517,117.88666
518,67.35633
519,89.35492
520,74.975235
521,40.592163
522,38.871323
523,44.085323
524,44.046654
525,51.931084
526,51.9778
527,50.209442
528,64.74256
529,50.92474
530,33.769543
531,78.26846
532,59.801697
533,126.90699
534,49.83216
535,65.7798
536,39.691074
537,47.325768
538,52.07953
539,35.827496
540,76.15355
541,60.360382
542,34.14451
543,61.635204
544,53.591866
545,43.392883
546,112.711845
547,42.72032
548,83.19819
549,44.50826
550,44.953224
551,52.64728
552,66.85349
553,36.850815
554,49.462982
555,49.53924
556,38.39171
557,68.266426
558,67.74665
559,53.099487
560,64.561356
561,65.924835
562,52.210297
563,49.92608
564,84.74763
565,50.321293
566,52.086452
567,89.23744
568,40.242596
569,93.70096
570,65.14946
571,107.35866
572,56.463432
573,44.4296
574,49.629097
575,79.37224
576,42.628357
577,44.953766
578,43.494816
579,42.422504
580,77.4267
581,43.50195
582,91.94728
583,34.977398
584,49.61512
585,56.20333
586,56.513096
587,50.717896
588,32.245953
589,33.27224
590,45.306713
591,95.06018
592,44.387398
593,50.10756
594,41.003616
595,39.23947
596,49.765823
597,48.660767
598,49.939434
599,53.865788
600,68.280914
601,51.704407
602,31.916817
603,49.777206
604,38.297623
605,74.06172
606,40.36787
607,54.367554
608,37.16647
609,83.4538
610,63.849495
611,168.8958
612,70.03457
613,117.59482
614,128.25174
615,80.873634
616,86.1906
617,173.98352
618,179.51894
619,136.33205
620,71.708305
621,34.185093
622,52.140785
623,46.752327
624,55.24887
625,46.833714
626,55.181843
627,49.33464
628,76.208176
629,92.00958
630,48.4974
631,47.026863
632,73.56767
633,76.92342
634,78.23224
635,81.01099
636,55.57753
637,101.57718
638,43.347168
639,33.687073
640,196.45541
641,38.3883
642,43.620052
643,58.991325
644,86.85828
645,127.59198
646,154.92638
647,162.09247
648,100.90486
649,48.81992
650,39.399963
651,66.40462
652,38.116657
653,80.11283
654,81.00175
655,74.09778
656,40.869675
657,51.17786
658,73.393524
659,57.833992
660,45.875694
661,39.54888
662,45.409145
663,42.12619
664,46.751682
665,42.72628
666,69.12575
667,42.589165
668,42.493298
669,39.469208
670,51.35047
671,88.92706
672,55.25897
673,82.66334
674,50.509445
675,47.126328
676,72.09482
677,44.10103
678,70.44587
679,44.255013
680,43.303146
681,48.104126
682,91.08797
683,79.90022
684,41.86386
685,45.39601
686,88.80377
687,47.356686
688,45.448174
689,38.60006
690,41.57004
691,66.14517
692,41.185905
693,41.11268
694,64.34443
695,81.56488
696,36.48611
697,59.888176
698,49.996212
699,52.328213
700,55.78128
701,56.63899
702,40.52457
703,94.799355
704,67.70031
705,49.93026
706,40.21853
707,65.154015
708,53.57465
709,54.992443
710,44.428658
711,80.12562
712,43.12045
713,41.710083
714,45.512783
715,55.27369
716,39.995605
717,42.8286
718,48.336372
719,83.38496
720,55.600853
721,49.147427
722,69.56893
723,34.68346
724,48.998352
725,68.21006
726,103.67145
727,35.245537
728,118.68324
729,75.30221
730,128.93588
731,88.3575
732,95.47557
733,51.219883
734,80.444725
735,123.73805
736,35.252663
737,39.916103
738,97.67824
739,46.372513
740,39.889492
741,53.22069
742,57.976086
743,42.061493
744,58.458565
745,78.41903
746,57.304
747,46.25593
748,42.25692
749,76.42641
750,66.01195
751,51.090843
752,83.07714
753,61.2418
754,47.022
755,35.612682
756,48.191246
757,39.766144
758,36.576866
759,44.709667
760,43.21359
761,53.69137
762,37.95072
763,30.85542
764,49.07288
765,47.415222
766,50.071503
767,50.49305
768,53.959526
769,61.21571
770,37.530853
771,45.50911
772,37.394024
773,42.249866
774,69.57034
775,51.61615
776,73.10591
777,52.891933
778,46.67037
779,62.055206
780,45.538975
781,40.52844
782,40.649616
783,52.275436
784,53.71788
785,51.911777
786,43.515087
787,50.898155
788,93.77102
789,93.034386
790,57.43231
791,47.3759
792,105.46081
793,103.17245
794,61.55468
795,57.545387
796,57.156044
797,50.449696
798,46.375446
799,51.26921
800,46.697308
801,36.925102
802,49.312485
803,35.700813
804,61.334484
805,72.23855
806,56.84696
807,36.98877
808,43.237137
809,53.21066
810,37.74222
811,45.20174
812,54.645462
813,39.200386
814,46.40398
815,53.22194
816,41.918743
817,44.79942
818,110.14647
819,44.188145
820,75.50719
821,90.91484
822,145.74202
823,48.245163
824,41.893112
825,43.505295
826,47.7585
827,74.38488
828,37.44014
829,43.496696
830,57.70356
831,60.7384
832,106.59286
833,90.73849
834,107.99725
835,99.981415
836,72.524765
837,67.6727
838,41.5894
839,55.896828
840,41.992928
841,43.591297
842,43.05799
843,83.05151
844,72.798706
845,46.81195
846,52.177258
847,41.107147
848,111.51535
849,35.679543
850,49.971962
851,42.058846
852,46.45551
853,57.491795
854,44.749847
855,40.360214
856,48.216236
857,75.55093
858,36.621746
859,54.506554
860,50.894554
861,49.20784
862,106.4462
863,97.32538
864,89.438774
865,62.53872
866,77.6284
867,62.642162
868,75.31592
869,54.212605
870,52.47719
871,49.872013
872,47.41768
873,115.255486
874,58.94866
875,43.441925
876,52.317078
877,44.805878
878,85.96619
879,37.296497
880,43.708023
881,62.77044
882,46.038044
883,78.09712
884,121.80233
885,119.026596
886,71.995926
887,95.35829
888,40.221474
889,106.89674
890,48.065334
891,57.05789
892,50.608753
893,53.22898
894,37.660927
895,41.746902
896,48.160774
897,56.09357
898,101.68943
899,60.64322
900,45.462936
901,47.37155
902,46.23339
903,42.57865
904,51.101772
905,50.060356
906,38.164444
907,51.959892
908,61.255325
909,44.2514
910,48.75458
911,50.041042
912,47.228275
913,43.94261
914,43.322826
915,54.1656
916,70.938034
917,52.09146
918,50.135643
919,49.888977
920,35.795486
921,54.486122
922,62.771614
923,86.63879
924,56.376484
925,57.109703
926,57.933395
927,49.464527
928,51.945362
929,38.774975
930,41.470123
931,33.17277
932,46.19129
933,44.26197
934,39.576687
935,41.823822
936,39.026085
937,53.894
938,37.135063
939,41.93775
940,57.058365
941,57.955402
942,43.61611
943,43.763786
944,47.97568
945,45.451706
946,70.80375
947,41.14467
948,43.64129
949,53.80285
950,56.17245
951,53.818317
952,43.39274
953,37.692772
954,67.4107
955,105.15167
956,113.27466
957,125.63596
958,40.426807
959,77.594505
960,75.544815
961,67.490654
962,79.6658
963,55.38083
964,39.375343
965,38.998753
966,46.52942
967,50.0309
968,35.273373
969,44.513847
970,44.260002
971,69.67882
972,44.515953
973,54.598396
974,46.79296
975,38.56516
976,36.523323
977,46.488316
978,40.125458
979,42.250153
980,77.79115
981,60.154446
982,46.597126
983,63.34179
984,71.17921
985,74.579544
986,80.46977
987,90.62176
988,48.27961
989,51.06835
990,62.692093
991,41.271423
992,42.479492
993,77.71123
994,73.53716
995,36.833023
996,49.04427
997,49.116917
998,47.982475
999,63.57741
1000,49.129993
1001,67.62018
1002,44.169323
1003,45.22877
1004,40.17625
1005,36.483948
1006,47.684193
1007,40.010403
1008,59.160873
1009,139.32407
1010,54.029507
1011,39.09045
1012,46.628197
1013,34.183685
1014,48.646885
1015,83.192894
1016,93.751785
1017,70.69345
1018,43.251575
1019,60.747475
1020,83.0419
1021,80.80075
1022,63.522823
1023,50.033844
1024,46.69922
1025,48.995018
1026,75.038216
1027,48.73465
1028,39.777878
1029,45.326733
1030,42.26285
1031,41.181206
1032,50.367786
1033,43.210278
1034,38.48044
1035,87.48012
1036,52.891273
1037,35.99359
1038,55.254646
1039,77.43373
1040,46.23426
1041,38.38986
1042,69.16621
1043,46.62309
1044,40.205208
1045,89.84004
1046,102.45187
1047,80.36561
1048,57.98228
1049,68.673065
1050,51.87269
1051,63.65053
1052,111.001045
1053,67.23399
1054,92.06497
1055,44.257874
1056,43.763077
1057,58.947327
1058,51.977665
1059,53.323143
1060,46.599396
1061,62.137558
1062,43.71235
1063,69.16061
1064,38.813198
1065,54.659492
1066,44.66202
1067,50.87909
1068,43.09568
1069,49.41594
1070,56.481323
1071,70.4723
1072,46.71065
1073,48.71627
1074,45.193275
1075,85.9672
1076,39.64774
1077,92.03704
1078,23.237381
1079,69.30125
1080,42.50812
1081,40.327003
1082,74.03543
1083,65.24728
1084,53.367825
1085,59.308353
1086,52.866943
1087,36.395447
1088,34.072678
1089,89.84364
1090,43.068413
1091,45.395767
1092,37.117542
1093,36.927334
1094,46.47555
1095,58.32218
1096,104.2335
1097,115.887436
1098,71.08835
1099,49.97183
1100,48.903957
1101,165.87953
1102,74.89279
1103,108.193115
1104,65.283646
1105,96.73203
1106,32.68889
1107,47.641315
1108,39.52774
1109,43.300045
1110,43.000034
1111,60.42794
1112,59.12231
1113,43.016396
1114,49.29043
1115,50.65458
1116,47.00519
1117,40.063446
1118,40.135162
1119,45.800217
1120,40.30008
1121,47.591614
1122,48.155853
1123,45.145344
1124,62.659336
1125,48.265965
1126,40.329185
1127,44.803196
1128,38.798546
1129,44.972446
1130,52.464993
1131,48.62503
1132,42.10849
1133,45.735424
1134,49.13969
1135,52.740955
1136,47.273907
1137,41.756023
1138,50.745914
1139,47.666615
1140,38.549404
1141,43.66148
1142,44.20508
1143,40.366867
1144,38.001236
1145,75.82863
1146,60.129787
1147,39.265297
1148,70.06645
1149,55.141594
1150,42.719284
1151,49.532845
1152,42.15793
1153,103.96112
1154,69.51828
1155,36.10726
1156,60.381477
1157,72.7014
1158,45.936333
1159,45.168236
1160,37.54807
1161,29.697445
1162,53.733616
1163,79.388664
1164,40.683456
1165,61.886623
1166,53.858276
1167,34.68436
1168,44.46769
1169,52.233818
1170,42.26971
1171,38.107265
1172,48.67101
1173,42.564003
1174,58.005226
1175,45.778046
1176,56.339485
1177,102.07918
1178,46.856
1179,48.39527
1180,46.63629
1181,46.62526
1182,61.350708
1183,46.6705
1184,64.657196
1185,85.91224
1186,104.26434
1187,61.250004
1188,42.005764
1189,38.92561
1190,43.70756
1191,44.579975
1192,50.24173
1193,40.09335
1194,80.65845
1195,37.289978
1196,47.725765
1197,69.46435
1198,61.5731
1199,43.104282
1200,50.528862
1201,41.20593
1202,48.28384
1203,62.306847
1204,60.364338
1205,48.503174
1206,87.29668
1207,60.589466
1208,56.43877
1209,44.090324
1210,44.84379
1211,45.56858
1212,63.546284
1213,42.51228
1214,43.69874
1215,46.87154
1216,38.511192
1217,36.04415
1218,85.12346
1219,56.775303
1220,48.22971
1221,37.422592
1222,50.037785
1223,56.30366
1224,40.748547
1225,60.157642
1226,57.455563
1227,57.94356
1228,47.206657
1229,70.41856
1230,40.655632
1231,47.075977
1232,66.37861
1233,58.830315
1234,97.59146
1235,64.13981
1236,52.310715
1237,42.60032
1238,38.730244
1239,37.28786
1240,39.098892
1241,34.146034
1242,44.324707
1243,56.118477
1244,77.3275
1245,66.363106
1246,36.762108
1247,45.995686
1248,53.293198
1249,77.94375
1250,46.2355
1251,48.827652
1252,46.52928
1253,46.562557
1254,62.56195
1255,53.871674
1256,60.21228
1257,70.74776
1258,44.743813
1259,66.591965
1260,43.92749
1261,48.946754
1262,48.454826
1263,44.12598
1264,41.47683
1265,46.874245
1266,47.19196
1267,46.491035
1268,48.998394
1269,42.70927
1270,42.967773
1271,41.85664
1272,78.48331
1273,87.26874
1274,65.68112
1275,44.538513
1276,40.28088
1277,65.57691
1278,82.865616
1279,88.590065
1280,44.19016
1281,39.761753
1282,52.41165
1283,119.92982
1284,42.213898
1285,85.839325
1286,55.091377
1287,57.575745
1288,49.033478
1289,66.64622
1290,66.683205
1291,46.637672
1292,40.581978
1293,43.85389
1294,49.522697
1295,62.336067
1296,45.363358
1297,51.946472
1298,40.923603
1299,41.125206
1300,34.52731
1301,35.79702
1302,46.44719
1303,42.22534
1304,58.402397
1305,84.05356
1306,45.389984
1307,43.70053
1308,52.079323
1309,42.995018
1310,50.045868
1311,50.577557
1312,50.890564
1313,46.72701
1314,36.177246
1315,47.6101
1316,65.9327
1317,38.831444
1318,119.8126
1319,95.258965
1320,105.08577
1321,42.410835
1322,36.93733
1323,40.672195
1324,74.530106
1325,39.026684
1326,39.97584
1327,39.777744
1328,48.419075
1329,62.85099
1330,85.6486
1331,56.65737
1332,93.22759
1333,80.44816
1334,51.840218
1335,44.20762
1336,55.307755
1337,87.27444
1338,49.25399
1339,75.95101
1340,48.24498
1341,42.232033
1342,47.27894
1343,47.598717
1344,37.585236
1345,45.92629
1346,49.35917
1347,46.068275
1348,86.85167
1349,38.92763
1350,46.38129
1351,42.20991
1352,52.01595
1353,41.655777
1354,83.219574
1355,41.141197
1356,41.334797
1357,49.33487
1358,55.88208
1359,79.41756
1360,80.207504
1361,49.162994
1362,42.539757
1363,75.09403
1364,58.739643
1365,50.096703
1366,52.34283
1367,44.846424
1368,77.657234
1369,62.949783
1370,46.802685
1371,54.694366
1372,42.78503
1373,43.290123
1374,47.906418
1375,49.175476
1376,36.2698
1377,41.687817
1378,47.261795
1379,62.07267
1380,39.925488
1381,45.048058
1382,36.79897
1383,62.837666
1384,47.439545
1385,61.72469
1386,43.22675
1387,58.204765
1388,42.435337
1389,48.52639
1390,90.41838
1391,64.08002
1392,90.02721
1393,88.086975
1394,47.984913
1395,52.90538
1396,57.240902
1397,40.17672
1398,53.490208
1399,38.671745
1400,42.515602
1401,47.899567
1402,56.24794
1403,48.824306
1404,106.28606
1405,76.1702
1406,45.047226
1407,92.3819
1408,47.262493
1409,56.58665
1410,60.721943
1411,54.48963
1412,44.4933
1413,48.034637
1414,51.133083
1415,46.012592
1416,35.787163
1417,50.20625
1418,38.594707
1419,56.84662
1420,77.793
1421,40.47721
1422,45.548992
1423,40.082268
1424,49.107517
1425,41.716908
1426,99.430954
1427,45.25906
1428,44.16128
1429,53.338696
1430,38.270203
1431,54.17327
1432,53.763252
1433,41.472397
1434,43.685844
1435,38.95592
1436,111.20732
1437,75.13469
1438,71.19132
1439,36.57582
1440,54.263504
1441,46.462933
1442,49.25217
1443,71.62129
1444,37.744404
1445,52.13984
1446,74.81378
1447,37.797684
1448,61.859245
1449,44.25105
1450,110.09155
1451,124.19659
1452,52.350746
1453,54.03289
1454,46.153744
1455,42.081203
1456,94.44231
1457,59.68744
1458,46.970303
1459,134.33652
1460,41.845966
1461,96.31243
1462,59.556114
1463,48.11219
1464,68.200195
1465,91.907906
1466,86.501114
1467,87.31901
1468,68.876335
1469,39.39509
1470,95.94127
1471,43.58832
1472,68.96973
1473,41.189342
1474,47.90197
1475,87.18518
1476,70.8
1477,91.882256
1478,52.46293
1479,54.05907
1480,38.76232
1481,46.698524
1482,38.37566
1483,53.631763
1484,77.982185
1485,65.096405
1486,50.660923
1487,46.61217
1488,51.932564
1489,93.62061
1490,40.14962
1491,53.04014
1492,109.50515
1493,55.848248
1494,105.04645
1495,66.89159
1496,45.16968
1497,51.122425
1498,110.53161
1499,43.42691
1500,73.783516
1501,48.28656
1502,53.8425
1503,37.489708
1504,38.21689
1505,41.632137
1506,57.41439
1507,54.743065
1508,51.13057
1509,61.823742
1510,37.35818
1511,52.97524
1512,42.294685
1513,49.33275
1514,104.24275
1515,62.39514
1516,112.115486
1517,40.25204
1518,39.56575
1519,160.32626
1520,80.46469
1521,51.219456
1522,43.33505
1523,35.160667
1524,45.031334
1525,70.624504
1526,85.064865
1527,72.40439
1528,42.50634
1529,53.379112
1530,67.89733
1531,49.9939
1532,42.94627
1533,49.416283
1534,51.678623
1535,68.913895
1536,38.146736
1537,74.50193
1538,41.83532
1539,43.80003
1540,42.857254
1541,51.53917
1542,62.98728
1543,52.10699
1544,33.770023
1545,39.261696
1546,40.645573
1547,53.171852
1548,43.76956
1549,41.030743
1550,47.768852
1551,45.20232
1552,32.814632
1553,44.62083
1554,60.634514
1555,44.450817
1556,42.634766
1557,47.81646
1558,53.072994
1559,61.3741
1560,45.737785
1561,74.05997
1562,69.53429
1563,48.615353
1564,40.66148
1565,117.53757
1566,45.531662
1567,49.88018
1568,52.606308
1569,58.90486
1570,49.35329
1571,60.175915
1572,33.722855
1573,39.99679
1574,62.803604
1575,47.794067
1576,75.08333
1577,50.1632
1578,43.34684
1579,57.87066
1580,63.11213
1581,41.00549
1582,85.00076
1583,46.048916
1584,61.299904
1585,93.341576
1586,62.969032
1587,123.98428
1588,132.6558
1589,50.61986
1590,66.323685
1591,48.45266
1592,47.565
1593,46.30338
1594,51.60363
1595,48.21469
1596,47.833927
1597,49.123608
1598,41.345802
1599,37.63193
1600,36.36837
1601,76.934906
1602,46.577076
1603,69.596886
1604,81.8975
1605,54.87445
1606,52.302628
1607,73.71428
1608,61.12611
1609,66.13572
1610,46.80577
1611,75.466354
1612,56.79431
1613,45.573387
1614,28.780977
1615,46.811256
1616,36.724598
1617,48.64505
1618,52.225327
1619,41.1581
1620,42.9536
1621,40.881172
1622,47.62525
1623,46.26311
1624,47.58648
1625,42.514797
1626,37.511585
1627,69.43598
1628,51.08205
1629,107.34306
1630,52.810143
1631,40.45313
1632,61.87685
1633,69.58021
1634,56.441772
1635,40.979992
1636,41.558914
1637,62.24615
1638,59.921043
1639,50.375957
1640,39.891468
1641,49.95317
1642,41.76194
1643,40.573685
1644,46.99193
1645,52.70692
1646,42.895092
1647,51.876606
1648,36.65598
1649,46.635094
1650,97.54945
1651,46.933697
1652,79.69375
1653,48.69139
1654,43.783577
1655,32.095276
1656,59.78551
1657,43.831028
1658,43.90689
1659,47.75883
1660,49.219643
1661,44.595684
1662,41.430748
1663,35.849274
1664,34.532864
1665,66.527756
1666,35.18069
1667,61.48492
1668,74.12355
1669,94.63858
1670,103.549614
1671,58.772896
1672,40.963623
1673,51.50509
1674,52.750328
1675,79.809265
1676,62.240337
1677,47.021404
1678,38.835682
1679,50.58525
1680,46.32742
1681,43.18611
1682,44.99916
1683,56.16266
1684,46.379196
1685,83.072975
1686,61.30729
1687,55.57168
1688,72.92058
1689,88.123
1690,47.014565
1691,44.456383
1692,70.29216
1693,42.877644
1694,45.459316
1695,73.36973
1696,44.290077
1697,35.884277
1698,41.22809
1699,49.347057
1700,72.28289
1701,39.23856
1702,60.445477
1703,51.64044
1704,54.94982
1705,60.99552
1706,119.335464
1707,64.25317
1708,77.77949
1709,74.76529
1710,67.09756
1711,41.498802
1712,104.909035
1713,76.54217
1714,52.5372
1715,98.51799
1716,47.730663
1717,40.047604
1718,38.67686
1719,41.808556
1720,76.886566
1721,33.26179
1722,39.919083
1723,43.499542
1724,41.362453
1725,38.941967
1726,47.416348
1727,39.165787
1728,86.362656
1729,61.14166
1730,48.722736
1731,43.97238
1732,68.180244
1733,82.96176
1734,42.949238
1735,45.02259
1736,38.842495
1737,47.38381
1738,43.96851
1739,70.98178
1740,117.28908
1741,87.1429
1742,48.816505
1743,120.810844
1744,226.5904
1745,206.6025
1746,65.40383
1747,77.192764
1748,38.83726
1749,46.656513
1750,33.219055
1751,45.882843
1752,45.47558
1753,45.345592
1754,38.326412
1755,81.22276
1756,109.24998
1757,70.32969
1758,64.16081
1759,42.19999
1760,81.658264
1761,81.11295
1762,78.49362
1763,47.717915
1764,120.34787
1765,94.279045
1766,86.98923
1767,35.643364
1768,65.61096
1769,60.200756
1770,38.53722
1771,40.86463
1772,40.687763
1773,64.77845
1774,38.29512
1775,44.326195
1776,68.05902
1777,54.64927
1778,47.62809
1779,77.6797
1780,45.42688
1781,37.772587
1782,39.241085
1783,52.528713
1784,53.029156
1785,98.50033
1786,77.70473
1787,34.41824
1788,65.550964
1789,50.4824
1790,73.36137
1791,45.087692
1792,43.69742
1793,50.17486
1794,47.918835
1795,55.90721
1796,98.73689
1797,43.573322
1798,42.42179
1799,43.9289
1800,41.8994
1801,35.61051
1802,32.728497
1803,49.151344
1804,43.255592
1805,102.93485
1806,87.07239
1807,55.1499
1808,36.653133
1809,44.226738
1810,123.63314
1811,106.55473
1812,120.33988
1813,50.29567
1814,156.25543
1815,97.43581
1816,99.350235
1817,69.03169
1818,84.10319
1819,130.45854
1820,93.83743
1821,59.320057
1822,37.023586
1823,31.419348
1824,67.866486
1825,47.18818
1826,78.34845
1827,45.645584
1828,93.750336
1829,70.32823
1830,58.868507
1831,86.27677
1832,51.961945
1833,68.16843
1834,41.740093
1835,45.7203
1836,65.6476
1837,56.931244
1838,53.511093
1839,73.53556
1840,96.04281
1841,50.64088
1842,71.52074
1843,49.570274
1844,53.489216
1845,69.48073
1846,94.12906
1847,49.088173
1848,87.2976
1849,72.070435
1850,64.94586
1851,71.75812
1852,72.807495
1853,56.587543
1854,40.25814
1855,52.99046
1856,64.11451
1857,42.02995
1858,87.675316
1859,37.67963
1860,43.722324
1861,49.350006
1862,54.1235
1863,42.387234
1864,95.14806
1865,34.08612
1866,66.35181
1867,40.636375
1868,54.510765
1869,52.706837
1870,47.441967
1871,58.49759
1872,43.775665
1873,49.45036
1874,64.50214
